CoefficientOfVariation,MeanPerformanceRatio,MeanRegret
0.05,0.999677807823907,0.312418276871329
0.1,0.999321168547985,0.637645906906987
0.15,0.998944607212821,0.959344805499069
0.2,0.998545323354385,1.27816257741915
0.3,0.99767303083203,1.90342886197505
0.4,0.996683317940966,2.51177322253413
